namespace = distance_calc
# Event to set the size (in pixels)  and coordinates of all provinces as variables;
# also save the square root of the size as an approximation of distance and travel times;
# also save all river_connections as province_flags ("river_province" and "river_to_####")
country_event = {
	id = distance_calc.1
	title = "EVT_AI"
	desc = "EVT_AI"
	picture = MEIOU_AND_TAXES_eventPicture

	is_triggered_only = yes
	hidden = yes

	#trigger = {
	#	always = yes
	#}

	immediate = {
		   1 = { set_variable = { which = prov_id value =   1 } set_variable = { which = x_coord value = 2914 } set_variable = { which = y_coord value =  265 } set_variable = { which = prov_size value =    310 } set_variable = { which = prov_radius value = 9.937 }  }
		   2 = { set_variable = { which = prov_id value =   2 } set_variable = { which = x_coord value = 2881 } set_variable = { which = y_coord value =  296 } set_variable = { which = prov_size value =    228 } set_variable = { which = prov_radius value = 8.536 }  }
		   3 = { set_variable = { which = prov_id value =   3 } set_variable = { which = x_coord value = 2870 } set_variable = { which = y_coord value =  320 } set_variable = { which = prov_size value =    676 } set_variable = { which = prov_radius value = 14.671 }  }
		   4 = { set_variable = { which = prov_id value =   4 } set_variable = { which = x_coord value = 2862 } set_variable = { which = y_coord value =  239 } set_variable = { which = prov_size value =    514 } set_variable = { which = prov_radius value = 12.793 }  }
		   5 = { set_variable = { which = prov_id value =   5 } set_variable = { which = x_coord value = 2840 } set_variable = { which = y_coord value =  262 } set_variable = { which = prov_size value =    458 } set_variable = { which = prov_radius value = 12.081 }  }
		   6 = { set_variable = { which = prov_id value =   6 } set_variable = { which = x_coord value = 2849 } set_variable = { which = y_coord value =  345 } set_variable = { which = prov_size value =    237 } set_variable = { which = prov_radius value = 8.689 }  }
		   7 = { set_variable = { which = prov_id value =   7 } set_variable = { which = x_coord value = 2825 } set_variable = { which = y_coord value =  283 } set_variable = { which = prov_size value =    139 } set_variable = { which = prov_radius value = 6.666 }  }
		   8 = { set_variable = { which = prov_id value =   8 } set_variable = { which = x_coord value = 2842 } set_variable = { which = y_coord value =  302 } set_variable = { which = prov_size value =    348 } set_variable = { which = prov_radius value = 10.530 }  }
		   9 = { set_variable = { which = prov_id value =   9 } set_variable = { which = x_coord value = 2951 } set_variable = { which = y_coord value =  257 } set_variable = { which = prov_size value =     38 } set_variable = { which = prov_radius value = 3.512 }  }
		  10 = { set_variable = { which = prov_id value =  10 } set_variable = { which = x_coord value = 2861 } set_variable = { which = y_coord value =  193 } set_variable = { which = prov_size value =    937 } set_variable = { which = prov_radius value = 17.272 }  }
		  11 = { set_variable = { which = prov_id value =  11 } set_variable = { which = x_coord value = 2901 } set_variable = { which = y_coord value =  208 } set_variable = { which = prov_size value =    990 } set_variable = { which = prov_radius value = 17.753 }  }
		  12 = { set_variable = { which = prov_id value =  12 } set_variable = { which = x_coord value = 2828 } set_variable = { which = y_coord value =  346 } set_variable = { which = prov_size value =     45 } set_variable = { which = prov_radius value = 3.794 }  }
		  13 = { set_variable = { which = prov_id value =  13 } set_variable = { which = x_coord value = 2786 } set_variable = { which = y_coord value =  372 } set_variable = { which = prov_size value =     77 } set_variable = { which = prov_radius value = 4.971 }  }
		  14 = { set_variable = { which = prov_id value =  14 } set_variable = { which = x_coord value = 2798 } set_variable = { which = y_coord value =  358 } set_variable = { which = prov_size value =     70 } set_variable = { which = prov_radius value = 4.750 }  }
		  15 = { set_variable = { which = prov_id value =  15 } set_variable = { which = x_coord value = 2791 } set_variable = { which = y_coord value =  341 } set_variable = { which = prov_size value =    163 } set_variable = { which = prov_radius value = 7.219 }  }
		  16 = { set_variable = { which = prov_id value =  16 } set_variable = { which = x_coord value = 2815 } set_variable = { which = y_coord value =  236 } set_variable = { which = prov_size value =    807 } set_variable = { which = prov_radius value = 16.034 }  }
		  17 = { set_variable = { which = prov_id value =  17 } set_variable = { which = x_coord value = 2791 } set_variable = { which = y_coord value =  267 } set_variable = { which = prov_size value =    151 } set_variable = { which = prov_radius value = 6.934 }  }
		  18 = { set_variable = { which = prov_id value =  18 } set_variable = { which = x_coord value = 2874 } set_variable = { which = y_coord value =  338 } set_variable = { which = prov_size value =     58 } set_variable = { which = prov_radius value = 4.315 }  }
		  19 = { set_variable = { which = prov_id value =  19 } set_variable = { which = x_coord value = 3008 } set_variable = { which = y_coord value =  189 } set_variable = { which = prov_size value =    897 } set_variable = { which = prov_radius value = 16.904 }  }
		  20 = { set_variable = { which = prov_id value =  20 } set_variable = { which = x_coord value = 2732 } set_variable = { which = y_coord value =  280 } set_variable = { which = prov_size value =    178 } set_variable = { which = prov_radius value = 7.548 }  }
		  21 = { set_variable = { which = prov_id value =  21 } set_variable = { which = x_coord value = 2782 } set_variable = { which = y_coord value =  276 } set_variable = { which = prov_size value =     81 } set_variable = { which = prov_radius value = 5.097 }  }
		  22 = { set_variable = { which = prov_id value =  22 } set_variable = { which = x_coord value = 2822 } set_variable = { which = y_coord value =  173 } set_variable = { which = prov_size value =   1000 } set_variable = { which = prov_radius value = 17.843 }  }
		  23 = { set_variable = { which = prov_id value =  23 } set_variable = { which = x_coord value = 2731 } set_variable = { which = y_coord value =  242 } set_variable = { which = prov_size value =    472 } set_variable = { which = prov_radius value = 12.269 }  }
		  24 = { set_variable = { which = prov_id value =  24 } set_variable = { which = x_coord value = 2757 } set_variable = { which = y_coord value =  292 } set_variable = { which = prov_size value =    256 } set_variable = { which = prov_radius value = 9.028 }  }
		  25 = { set_variable = { which = prov_id value =  25 } set_variable = { which = x_coord value = 2926 } set_variable = { which = y_coord value =  313 } set_variable = { which = prov_size value =     69 } set_variable = { which = prov_radius value = 4.690 }  }
		  26 = { set_variable = { which = prov_id value =  26 } set_variable = { which = x_coord value = 2833 } set_variable = { which = y_coord value =  323 } set_variable = { which = prov_size value =     95 } set_variable = { which = prov_radius value = 5.526 }  }
		  27 = { set_variable = { which = prov_id value =  27 } set_variable = { which = x_coord value = 2986 } set_variable = { which = y_coord value =  251 } set_variable = { which = prov_size value =    176 } set_variable = { which = prov_radius value = 7.504 }  }
		  28 = { set_variable = { which = prov_id value =  28 } set_variable = { which = x_coord value = 3031 } set_variable = { which = y_coord value =  253 } set_variable = { which = prov_size value =    246 } set_variable = { which = prov_radius value = 8.850 }  }
		  29 = { set_variable = { which = prov_id value =  29 } set_variable = { which = x_coord value = 3034 } set_variable = { which = y_coord value =  223 } set_variable = { which = prov_size value =    786 } set_variable = { which = prov_radius value = 15.821 }  }
		  30 = { set_variable = { which = prov_id value =  30 } set_variable = { which = x_coord value = 3000 } set_variable = { which = y_coord value =  225 } set_variable = { which = prov_size value =    526 } set_variable = { which = prov_radius value = 12.945 }  }
		  31 = { set_variable = { which = prov_id value =  31 } set_variable = { which = x_coord value = 3070 } set_variable = { which = y_coord value =  207 } set_variable = { which = prov_size value =    732 } set_variable = { which = prov_radius value = 15.274 }  }
		  32 = { set_variable = { which = prov_id value =  32 } set_variable = { which = x_coord value = 3084 } set_variable = { which = y_coord value =  243 } set_variable = { which = prov_size value =    346 } set_variable = { which = prov_radius value = 10.507 }  }
